Ticker,Nazwa,Cena,Data,Godzina,Kurs odniesienia,Kurs otwarcia,Max 1D,Min 1D,Wolumen obrotu,Wartość obrotu,Liczba transakcji,Stopa zwrotu 1R,Max 1R,Min 1R,System notowań
ALIOR,Alior Bank SA (ALR),106.35,2025-05-27,09:53:41,106.65,106.65,107.45,106.1,14156.0,1512119.0,160.0,11.09,123.1500(2025-04-01),85.8600(2024-11-19),ciągłe
ALLEGRO,Allegro.eu SA (ALE),33.55,2025-05-27,09:53:43,33.515,33.25,33.835,33.24,241418.0,8101105.0,941.0,-16.09,39.9750(2024-05-27),25.6700(2025-01-13),ciągłe
BUDIMEX,Budimex SA (BDX),662.8,2025-05-27,09:53:46,658.8,664.0,669.6,662.4,9528.0,6340742.0,554.0,-16.73,796.0000(2024-05-27),440.4000(2024-12-17),ciągłe
CCC,CCC S.A. (CCC),236.8,2025-05-27,09:53:48,235.3,236.4,239.8,236.2,64300.0,15298358.0,898.0,80.76,244.5000(2025-04-29),114.5000(2024-07-02),ciągłe
CDPROJEKT,CD Projekt SA (CDR),219.0,2025-05-27,09:53:49,220.1,221.5,221.9,218.9,14766.0,3253480.0,557.0,56.71,257.6000(2025-05-02),130.3000(2024-05-29),ciągłe
DINOPL,Dino Polska SA (DNP),539.4,2025-05-27,09:53:52,544.8,541.0,544.0,538.4,6680.0,3616138.0,324.0,34.75,556.2000(2025-05-08),303.3000(2024-09-16),ciągłe
KETY,Grupa Kęty SA (KTY),868.5,2025-05-27,09:53:53,867.5,866.0,877.0,866.0,604.0,527045.0,110.0,1.11,906.5000(2024-06-24),664.0000(2024-10-30),ciągłe
KGHM,KGHM Polska Miedź SA (KGH),125.9,2025-05-27,09:53:55,127.3,127.0,127.3,124.5,39363.0,4966526.0,600.0,-19.46,163.7000(2024-09-26),106.5000(2025-04-09),ciągłe
KRUK,Kruk SA (KRU),419.6,2025-05-27,09:53:57,421.0,420.8,422.8,418.1,6659.0,2804155.0,471.0,-7.72,476.8000(2024-07-09),352.0000(2025-04-09),ciągłe
LPP,LPP SA (LPP),15430.0,2025-05-27,09:53:59,15625.0,15740.0,15740.0,15430.0,424.0,6605535.0,234.0,-10.2,18500.0000(2025-03-06),13670.0000(2024-09-11),ciągłe
MBANK,mBank S.A. (MBK),827.6,2025-05-27,09:54:00,826.4,826.2,838.8,813.4,1261.0,1047773.0,192.0,31.01,868.6000(2025-04-24),530.0000(2024-11-28),ciągłe
ORANGEPL,Orange Polska S.A. (OPL),9.77,2025-05-27,09:54:02,9.804,9.76,9.852,9.76,16546.0,162442.0,100.0,15.89,9.9260(2025-05-21),7.1500(2025-01-14),ciągłe
PEKAO,Bank Polska Kasa Opieki SA (PEO),181.4,2025-05-27,09:54:04,181.8,181.75,182.3,181.1,51029.0,9272291.0,536.0,14.59,192.6000(2025-04-29),135.6500(2024-11-29),ciągłe
PEPCO,Pepco Group NV (PCO),17.0,2025-05-27,09:54:06,16.965,17.09,17.1,16.9,144276.0,2454222.0,694.0,-33.47,24.6000(2024-06-03),14.0250(2025-04-04),ciągłe
PGE,Polska Grupa Energetyczna SA (PGE),9.088,2025-05-27,09:54:07,9.2,9.2,9.26,9.084,124824.0,1144274.0,359.0,23.59,9.5940(2025-05-16),5.8440(2024-12-19),ciągłe
PKNORLEN,ORLEN SA (PKN),71.28,2025-05-27,09:54:09,71.9,71.9,71.97,71.25,92829.0,6658071.0,782.0,10.29,73.0000(2025-05-13),46.3200(2024-12-17),ciągłe
PKOBP,Powszechna Kasa Oszczędności Bank Polski SA (PKO),75.58,2025-05-27,09:54:11,75.82,75.7,76.04,75.12,125255.0,9469720.0,687.0,30.68,80.0400(2025-03-18),49.8400(2024-08-07),ciągłe
PZU,Powszechny Zakład Ubezpieczeń SA (PZU),60.22,2025-05-27,09:54:13,60.5,60.62,60.74,60.12,86950.0,5241741.0,528.0,19.33,63.3200(2025-05-16),39.1500(2024-09-16),ciągłe
SANPL,Santander Bank Polska SA (SPL),509.8,2025-05-27,09:54:15,509.2,509.2,514.8,508.4,4436.0,2268889.0,310.0,0.39,621.0000(2025-04-25),437.2000(2024-11-29),ciągłe
ZABKA,Grupa Żabka SA (ZAB),23.71,2025-05-27,09:54:18,23.58,23.59,23.74,23.59,117553.0,2782959.0,499.0,-,24.7450(2025-01-17),17.9000(2024-11-25),ciągłe
ALIOR,Alior Bank SA (ALR),106.55,2025-05-27,10:24:27,106.65,106.65,107.45,106.1,18024.0,1924577.0,220.0,11.67,123.1500(2025-04-01),85.8600(2024-11-19),ciągłe
ALLEGRO,Allegro.eu SA (ALE),33.64,2025-05-27,10:24:28,33.515,33.25,33.835,33.24,340109.0,11427494.0,1400.0,-15.67,39.9750(2024-05-27),25.6700(2025-01-13),ciągłe
BUDIMEX,Budimex SA (BDX),663.2,2025-05-27,10:24:30,658.8,664.0,669.6,662.0,12389.0,8240050.0,760.0,-16.68,796.0000(2024-05-27),440.4000(2024-12-17),ciągłe
CCC,CCC S.A. (CCC),236.1,2025-05-27,10:24:32,235.3,236.4,239.8,235.8,109226.0,25958150.0,1405.0,80.46,244.5000(2025-04-29),114.5000(2024-07-02),ciągłe
CDPROJEKT,CD Projekt SA (CDR),220.4,2025-05-27,10:24:33,220.1,221.5,221.9,218.7,23667.0,5212872.0,880.0,57.71,257.6000(2025-05-02),130.3000(2024-05-29),ciągłe
DINOPL,Dino Polska SA (DNP),541.6,2025-05-27,10:24:35,544.8,541.0,544.0,538.4,10606.0,5741854.0,509.0,35.3,556.2000(2025-05-08),303.3000(2024-09-16),ciągłe
KETY,Grupa Kęty SA (KTY),870.0,2025-05-27,10:24:36,867.5,866.0,877.0,864.5,1014.0,883256.0,180.0,1.11,906.5000(2024-06-24),664.0000(2024-10-30),ciągłe
KGHM,KGHM Polska Miedź SA (KGH),126.15,2025-05-27,10:24:38,127.3,127.0,127.3,124.5,67948.0,8572508.0,948.0,-19.46,163.7000(2024-09-26),106.5000(2025-04-09),ciągłe
KRUK,Kruk SA (KRU),420.7,2025-05-27,10:24:40,421.0,420.8,422.8,418.1,10868.0,4575683.0,600.0,-7.72,476.8000(2024-07-09),352.0000(2025-04-09),ciągłe
LPP,LPP SA (LPP),15605.0,2025-05-27,10:24:42,15625.0,15740.0,15740.0,15430.0,554.0,8630780.0,314.0,-10.2,18500.0000(2025-03-06),13670.0000(2024-09-11),ciągłe
MBANK,mBank S.A. (MBK),838.2,2025-05-27,10:24:45,826.4,826.2,839.0,813.4,2294.0,1911346.0,281.0,31.01,868.6000(2025-04-24),530.0000(2024-11-28),ciągłe
